seiten;datum;kategorie;typ;detail;titel
1-2;2019-05-07;gruendung;brief;UID-Zuteilung;Zuteilung der Unternehmens-Identifikationsnummer CHE-413.083.919 durch das Bundesamt fuer Statistik
3-4;2019-04-23;gruendung;urkunde;Handelsregisterauszug;Handelsregisterauszug SBS Projer GmbH nach der Eintragung, Grundbuchinspektorat und Handelsregister Graubuenden (GVZ 2727/2019)
5;2019-04-25;gruendung;brief;Anschreiben-Swiss-Franchising;Begleitschreiben Swiss Franchising (Rolf Blumenthal) zu Statuten, oeffentlicher Urkunde und GV-Protokoll
6-10;2019-04-12;gruendung;urkunde;Oeffentliche-Beurkundung;Oeffentliche Beurkundung der Gruendung - Notar lic.iur. Daniel Althaus, Advokatur und Notariat, Glarus; Stammkapital und Sacheinlagen
11-21;2019-04-12;gruendung;statuten;Statuten;Statuten der SBS Projer GmbH mit Sitz in Domat/Ems vom 12.04.2019
22;2019-04-12;gruendung;protokoll;GV-Protokoll;Protokoll der Gruenderversammlung - Zeichnungsberechtigung Daniel Projer mit Einzelunterschrift, Verzicht auf die eingeschraenkte Revision (erwarteter Jahresumsatz rund 170000)
23-35;2019-04-01;franchise;vertrag;Franchisevertrag-Heineken;Franchisevertrag zwischen Heineken Switzerland AG und SBS Projer GmbH - Grundlage des gesamten Geschaeftsmodells Swiss Beverage Services
36-53;2017-10-10;franchise;brief;Franchisemodell-Startup-Checkliste;Franchisemodell Swiss Beverage Services - Startup-Checkliste Version 7, der Weg zum eigenen Unternehmen fuer Franchisenehmer
54-61;2019-03-26;fahrzeug;vertrag;Fahrzeugueberlassungsvertrag;Fahrzeugueberlassungsvertrag Heineken (Anhang 6) - VW Caddy Maxi Kastenwagen 4x4, Kontrollschild GR 169832, Stand 30.04.2018
62;2019-04-01;franchise;brief;Kundenbrief-Uebernahme;Kundenbrief Heineken zur personellen Aenderung im Offenausschank-Reinigungs-Service - Uebernahme von Tino Hassler (SBS Hassler GmbH) per 01.05.2019
63;2019-04-01;franchise;brief;Internes-Memo-Gebiet-16;Internes Memo Heineken zur Uebernahme des Gebiets 16 (Graubuenden ohne Engadin, Oberhalbstein und Albulatal) durch die SBS Projer GmbH
64-68;2019-04-25;franchise;vertrag;Akzept-Einkaufsbedingungen;Akzept der Allgemeinen Einkaufsbedingungen und des Lieferantenkodex von Heineken Switzerland AG und Stardrinks AG
