datei;bereich;kategorie;typ;jahr;datum;titel
16_Corona_Kredit/aufbereitet/16_Corona_Kredit.pdf;bank;covid-kredit;vertrag;2020;2020-04-01;GKB COVID-19-Kredit (Darlehenskonto 10.376.550.602, urspruenglich 20000) - Kreditunterlagen, Zins- und Amortisationsabrechnungen 2020-2023, Konditionsaenderung auf 1.5 Prozent per 31.03.2023, dazu Umschuldungs- und Dividendenverbot bis zur vollstaendigen Rueckzahlung
03_Bankunterlagen/aufbereitet/03_Bankunterlagen.pdf;bank;;zinsausweis;2020;2020-12-31;GKB Zins- und Kapitalausweise zum COVID-19-Darlehen (Buchsaldo 31.12.2020 minus 20000) und weitere Bankunterlagen
10_Auto_Fahrbewilligung/aufbereitet/10_Auto_Fahrbewilligung.pdf;behoerden;;brief;2026;2026-03-24;Fahrbewilligungen der Gemeinden fuer Zufahrtsrouten (u.a. Flims W Foppa/Startgels 40.00 jaehrlich) und Unterlagen zum Firmenfahrzeug
09_Gemeinde_Wasser_Abfall_Entsorgung/aufbereitet/09_Gemeinde_Wasser_Abfall_Entsorgung.pdf;behoerden;;brief;2026;2026-02-23;Gemeinde Domat/Ems - Feuerwehrersatzabgabe und Kehrichtgrundgebuehren (2026: 153.00)
11_Natel_Internet/aufbereitet/11_Natel_Internet.pdf;vertraege;sonstiges;brief;2024;2024-03-03;Swisscom Mobilrechnungen (Kundennummer 95142497, Rufnummer 076 566 58 06)
14_Corona_Erwerbsersatz/aufbereitet/14_Corona_Erwerbsersatz.pdf;behoerden;;brief;2021;2021-08-06;SVA Graubuenden - Corona-Erwerbsersatzentschaedigung fuer Personen in arbeitgeberaehnlicher Stellung (Mai 2021: 31 Tage zu 196.00, total 6464.85)
15_Kurzarbeit/aufbereitet/15_Kurzarbeit.pdf;behoerden;;brief;2020;2020-05-12;KIGA Graubuenden - Auszahlung Kurzarbeitsentschaedigung Abrechnungsperiode Maerz 2020 (1265.15)
13_Unfall_Krankheit/aufbereitet/13_Unfall_Krankheit_01.pdf;versicherungen;unfall;brief;2021;2021-01-27;SUVA Taggeldabrechnung Schadenfall 23.32069.21.0 - Unfall vom 18.01.2021, 6 Tage zu 222.25, total 1333.50
13_Unfall_Krankheit/aufbereitet/13_Unfall_Krankheit_02.pdf;versicherungen;unfall;brief;2021;2021-01-20;SUVA Unterlagen zum Schadenfall 23.32069.21.0
13_Unfall_Krankheit/aufbereitet/13_Unfall_Krankheit_03.pdf;versicherungen;unfall;brief;2021;2021-01-20;SUVA Unterlagen zum Schadenfall 23.32069.21.0
13_Unfall_Krankheit/aufbereitet/13_Unfall_Krankheit_04.pdf;versicherungen;unfall;brief;2021;2021-01-20;SUVA Unfallschein UVG Schadenfall 23.32069.21.0 - Unfall 18.01.2021 16:30, Arbeitsunfaehigkeit 100 Prozent bis 25.01.2021
13_Unfall_Krankheit/aufbereitet/13_Unfall_Krankheit_05.pdf;versicherungen;unfall;brief;2021;2021-01-20;SUVA Unterlagen zum Schadenfall 23.32069.21.0
