datei;jahr;typ;kategorie;datum;betrag;referenz;titel;zahlung_belegnummer
00_Rechnungen/01_Steuern/2019_Kanton_Mahnung-1_Rg9760463_600.00.pdf;2019;mahnung;kanton;2020-06-17;600.00;9760463;1. Mahnung Kanton 2019 provisorisch (Rg 9760463 vom 01.03.2020);301_2020_07_01_Steu_00060000
00_Rechnungen/01_Steuern/2020_Bund_definitiv_Rg11540582_85.00.pdf;2020;rechnung_definitiv;bund;2022-02-14;85.00;11540582;Bund 2020 definitiv (Ermessen, später per Einsprache aufgehoben);301_2022_02_15_Steu_00008500
00_Rechnungen/01_Steuern/2020_Bund_provisorisch_Rg10661247_603.50_storniert.pdf;2020;rechnung_provisorisch;bund;2021-03-01;603.50;10661247;Bund 2020 provisorisch — storniert (Mail 31.03.2021);
00_Rechnungen/01_Steuern/2020_Kanton_definitiv_Rg11541046_95.00.pdf;2020;rechnung_definitiv;kanton;2022-02-14;95.00;11541046;Kanton 2020 definitiv (Total 184, Saldo 95; später per Einsprache aufgehoben);301_2022_02_15_Steu_00009500
00_Rechnungen/01_Steuern/2020_Kanton_provisorisch-korrigiert_Rg10772334_89.00.pdf;2020;rechnung_provisorisch;kanton;2021-04-26;89.00;10772334;Kanton 2020 provisorisch korrigiert;301_2021_05_05_Steu_00008900
00_Rechnungen/01_Steuern/2020_Kanton_provisorisch_Rg10655332_717.00_storniert.pdf;2020;rechnung_provisorisch;kanton;2021-03-01;717.00;10655332;Kanton 2020 provisorisch — storniert (ersetzt durch Rg 10772334);
00_Rechnungen/01_Steuern/2021_Busse-Kanton_definitiv_Rg11182516_400.00_DanielProjer-privat.pdf;2021;bussverfuegung;busse;2021-12-13;400.00;11182516;Ordnungsbusse Kanton 24.11.2021 (adressiert an Daniel Projer privat);301_2022_03_17_Steu_00040000
00_Rechnungen/01_Steuern/2021_Kanton_provisorisch_Rg11580976_89.00.pdf;2021;rechnung_provisorisch;kanton;2022-03-01;89.00;11580976;Kanton 2021 provisorisch;301_2022_05_10_Steu_00008900
00_Rechnungen/01_Steuern/2022_Busse-Kanton_Mahnung-1_Rg11539779_150.00.pdf;2020;mahnung;busse;2022-05-30;150.00;11539779;1. Mahnung Ordnungsbusse Kanton 17.01.2022 (Steuererklärung 2020);301_2022_06_08_Steu_00015000
00_Rechnungen/01_Steuern/2022_Kanton_definitiv_Rg13032700_-33.00_Rueckzahlung.pdf;2022;rechnung_definitiv;kanton;2023-12-08;-33.00;13032700;Kanton 2022 definitiv (Total 56, Guthaben 33);302_2023_12_12_StRZ_00003300
00_Rechnungen/01_Steuern/2022_Kanton_provisorisch_Rg12490588_89.00.pdf;2022;rechnung_provisorisch;kanton;2023-03-01;89.00;12490588;Kanton 2022 provisorisch;301_2023_05_02_Steu_00008900
00_Rechnungen/01_Steuern/2022_MWST_Korrektur-Q1-2022_ESTV_394.20.pdf;2022;rechnung_definitiv;mwst;2022-10-07;394.20;K8EA5Q12022988947;ESTV MWST Korrektur provisorischer Steuerbetrag Q1/2022;301_2022_11_03_Steu_00039420
00_Rechnungen/01_Steuern/2023_Bund_Mahnung-1_Rg13985321_1088.00.pdf;2023;mahnung;bund;2025-01-29;1088.00;13985321;1. Mahnung Bund 2023 definitiv (Rg 13985321 vom 13.12.2024);301_2025_02_03_Steu_00108800
00_Rechnungen/01_Steuern/2023_Kanton_Mahnung-2_Rg13985320_1253.00.pdf;2023;mahnung;kanton;2025-04-30;1253.00;13985320;2. Mahnung Kanton 2023 definitiv (1'223 + 30 Mahngebühr);301_2025_05_14_Steu_00125300
00_Rechnungen/01_Steuern/2023_Kanton_provisorisch_Rg13428518_56.00.pdf;2023;rechnung_provisorisch;kanton;2024-03-01;56.00;13428518;Kanton 2023 provisorisch;301_2024_04_09_Steu_00005600
00_Rechnungen/01_Steuern/2024_Bund_Mahnung-1_Rg14403952_1088.00.pdf;2024;mahnung;bund;2025-04-30;1088.00;14403952;1. Mahnung Bund 2024 provisorisch (Rg 14403952 vom 01.03.2025);301_2025_05_14_Steu_00108800
00_Rechnungen/01_Steuern/2024_Bund_definitiv_Rg14926768_1317.50.pdf;2024;rechnung_definitiv;bund;2026-01-09;1317.50;14926768;Bund 2024 definitiv (Total 2'405.50, Saldo 1'317.50);301_2026_02_10_Steu_00131750
00_Rechnungen/01_Steuern/2024_Busse-Kanton_Mahnung-1_Rg13960127_200.00.pdf;2023;mahnung;busse;2025-03-12;200.00;13960127;1. Mahnung Ordnungsbusse Kanton 21.11.2024 (Steuererklärung 2023);301_2025_03_20_Steu_00020000
00_Rechnungen/01_Steuern/2024_Kanton_definitiv_Rg14926769_1469.00.pdf;2024;rechnung_definitiv;kanton;2026-01-09;1469.00;14926769;Kanton 2024 definitiv (Total 2'748, Saldo 1'469);ZV20260415/076670/1
00_Rechnungen/01_Steuern/2024_Kanton_provisorisch_Rg14403955_1279.00.pdf;2024;rechnung_provisorisch;kanton;2025-03-01;1279.00;14403955;Kanton 2024 provisorisch;301_2025_05_14_Steu_00127900
00_Rechnungen/01_Steuern/2025_Bund_provisorisch_Rg15326321_2405.50.pdf;2025;rechnung_provisorisch;bund;2026-03-01;2405.50;15326321;Bund 2025 provisorisch;ZV20260415/076670/2
00_Rechnungen/01_Steuern/2025_Kanton_provisorisch_Rg15326323_2748.00.pdf;2025;rechnung_provisorisch;kanton;2026-03-01;2748.00;15326323;Kanton 2025 provisorisch;ZV20260505/864008/2
