belegnummer;steuerjahr;steuerart
301_2020_05_08_Steu_00042500;2019;bund
301_2020_07_01_Steu_00060000;2019;kanton
302_2021_02_01_StRZ_00043420;2019;bund
302_2021_02_01_StRZ_00055300;2019;kanton
301_2021_05_05_Steu_00008900;2020;kanton
301_2022_02_15_Steu_00008500;2020;bund
301_2022_02_15_Steu_00009500;2020;kanton
301_2022_03_17_Steu_00040000;2021;busse
302_2022_04_19_StRZ_00018135;2020;kanton
302_2022_04_19_StRZ_00008560;2020;bund
301_2022_05_10_Steu_00008900;2021;kanton
301_2022_06_08_Steu_00015000;2020;busse
301_2022_11_03_Steu_00039420;2022;mwst
302_2023_03_14_StRZ_00007800;2021;kanton
301_2023_05_02_Steu_00008900;2022;kanton
302_2023_12_12_StRZ_00003300;2022;kanton
301_2024_04_09_Steu_00005600;2023;kanton
301_2025_02_03_Steu_00108800;2023;bund
301_2025_03_20_Steu_00020000;2023;busse
301_2025_05_14_Steu_00125300;2023;kanton
301_2025_05_14_Steu_00127900;2024;kanton
301_2025_05_14_Steu_00108800;2024;bund
301_2026_02_10_Steu_00131750;2024;bund
ZV20260415/076670/2;2025;bund
ZV20260415/076670/1;2024;kanton
ZV20260505/864008/2;2025;kanton
JA2025_D_U1;2025;bund
JA2025_D_U2;2025;kanton
254_2020_02_06_MWST_00087905;2019;mwst
254_2020_04_02_MWST_00048915;2019;mwst
254_2020_06_08_MWST_00428675;2019;mwst
254_2020_09_04_MWST_00178570;2020;mwst
254_2020_12_23_MWST_00067005;2020;mwst
254_2021_02_05_MWST_00183210;2020;mwst
254_2021_02_05_MWST_00091805;2020;mwst
254_2021_02_25_MWST_00077445;2020;mwst
254_2021_09_30_MWST_00039975;2021;mwst
254_2022_01_25_MWST_00083095;2021;mwst
254_2022_04_06_MWST_00154840;2021;mwst
254_2022_07_27_MWST_00175870;2021;mwst
254_2022_10_07_MWST_00239420;2022;mwst
254_2023_01_30_MWST_00200000;2022;mwst
254_2023_03_03_MWST_00165655;2022;mwst
254_2023_03_03_MWST_00165310;2022;mwst
254_2023_06_01_MWST_00209285;2022;mwst
254_2023_09_04_MWST_00000580;2023;mwst
254_2024_02_02_MWST_00075848;2023;mwst
254_2024_05_06_MWST_00104052;2023;mwst
254_2024_05_06_MWST_00251018;2023;mwst
254_2024_11_05_MWST_00262740;2024;mwst
254_2025_02_03_MWST_00230000;2024;mwst
254_2025_03_12_MWST_00185823;2024;mwst
254_2025_03_12_MWST_00251385;2024;mwst
254_2025_03_12_MWST_00244354;2024;mwst
254_2025_04_03_MWST_-00044177;2024;mwst
254_2025_04_15_MWST_-00185823;2024;mwst
254_2025_10_06_MWST_00280000;2025;mwst
254_2025_10_06_MWST_00218533;2025;mwst
254_2025_10_07_MWST_00111000;2025;busse
254_2025_10_29_MWST_-00111000;2025;busse
254_2025_11_06_MWST_-00015846;2025;mwst
254_2026_02_10_MWST_00333374;2025;mwst
ZV20260518/525077/1;2025;mwst
