datei;datum;kategorie;typ;betrag;titel
Police_14560085_2025-09-18.pdf;2025-09-18;haftpflicht;police;811.55;KMU Versicherung Police 14.560.085 (ersetzt 15.371.295) - Modul Haftpflicht, Laufzeit 01.01.2026-31.12.2028, gemeldeter Umsatz 200000 und AHV-Lohnsumme 100000, Jahrespraemie 811.55
Police_44127389_2025-09-19.pdf;2025-09-19;krankentaggeld;police;1796.00;Personenversicherung Professional Police 44.127.389 - Unfallzusatz 100.00 und Krankentaggeld 1696.00, UVG laeuft ueber die SUVA
Police_44127389_2022-09-13.pdf;2022-09-13;krankentaggeld;police;;Personenversicherung Professional Police 44.127.389, Stand 2022
Policenbegleitbrief_14560085_2025-12-31.pdf;2025-12-31;haftpflicht;brief;;Policenbegleitbrief KMU Versicherung 14.560.085
Policenbegleitbrief_44127389_2025-12-31.pdf;2025-12-31;krankentaggeld;brief;;Policenbegleitbrief Personenversicherung 44.127.389
Bescheinigung_14560085_2025-09-18.pdf;2025-09-18;haftpflicht;police;;Versicherungsbescheinigung KMU Versicherung 14.560.085
Prämienrechnung_14560085_2025-11-14.pdf;2025-11-14;haftpflicht;rechnung_definitiv;811.55;Praemienrechnung KMU Versicherung 14.560.085 fuer 2026
Prämienrechnung_44127389_2025-11-14.pdf;2025-11-14;krankentaggeld;rechnung_definitiv;1796.00;Praemienrechnung Personenversicherung 44.127.389 fuer 2026
Prämienrechnung_44127389_2024-11-16.pdf;2024-11-16;krankentaggeld;rechnung_definitiv;;Praemienrechnung Personenversicherung 44.127.389 fuer 2025
Einzahlungsschein_14560085_2025-11-14.pdf;2025-11-14;haftpflicht;rechnung_definitiv;;Einzahlungsschein KMU Versicherung 14.560.085
Einzahlungsschein_44127389_2025-11-14.pdf;2025-11-14;krankentaggeld;rechnung_definitiv;;Einzahlungsschein Personenversicherung 44.127.389
Einzahlungsschein_44127389_2024-11-16 (2).pdf;2024-11-16;krankentaggeld;rechnung_definitiv;;Einzahlungsschein Personenversicherung 44.127.389 fuer 2025
16369DE-AXA-KMU Versicherung-AVB-2024-06D.pdf;2024-06-01;haftpflicht;brief;;AVB KMU Versicherung (Ausgabe 06/2024)
16378DE-AXA-Haftpflichtversicherung-ZB-2023-10D.pdf;2023-10-01;haftpflicht;brief;;Zusatzbedingungen Haftpflichtversicherung (Ausgabe 10/2023)
17393DE-AXA-Personenversicherung-AVB-2024-01D.pdf;2024-01-01;krankentaggeld;brief;;AVB Personenversicherung (Ausgabe 01/2024)
16374DE-AXA-Krankentaggeldversicherung_Betriebsinhaber_und_Personal-ZB-2024-01D.pdf;2024-01-01;krankentaggeld;brief;;Zusatzbedingungen Krankentaggeldversicherung Betriebsinhaber und Personal (Ausgabe 01/2024)
16371DE-AXA-Unfallversicherung_Betriebsinhaber_und_Ergaenzung_Personal-ZB-2024-01D.pdf;2024-01-01;unfall;brief;;Zusatzbedingungen Unfallversicherung Betriebsinhaber und Ergaenzung Personal (Ausgabe 01/2024)
14739DE_KKV_Merkbkatt_2026-05_mit_Formular.pdf;2026-05-01;krankentaggeld;brief;;Merkblatt Kollektiv-Krankenversicherung mit Formular (Ausgabe 05/2026)
16747DE_FS-Abredeversicherung_2026-05_mit_Formular.pdf;2026-05-01;unfall;brief;;Merkblatt Abredeversicherung mit Formular (Ausgabe 05/2026)
15511DE_FS_Gesundheitsmanagement_KMU_de.pdf;2024-01-01;krankentaggeld;brief;;Merkblatt Gesundheitsmanagement fuer KMU
