Betrieb;Rechnung;Rechnungsdatum;Betrag;Zahlung_am;Zahlung_Beleg;Ueberschuss_Betrieb
Alpina;011_2023_11_28_0147_00009370;2023-11-28;93.70;;kein betragsgleicher Treffer;389.15
Alpina;011_2024_09_26_0195_00009405;2024-09-26;94.05;2024-10-02;020_2024_10_02_0195_00009405;389.15
Alpina;011_2024_11_27_0147_00010700;2024-11-27;107.00;2025-03-12;020_2025_03_12_0147_00010700;389.15
Alpina Resort;011_2019_11_01_0213_00006785;2019-11-01;67.85;2019-11-27;020_2019_11_27_0213_00006785;74.60
Alpsu;2026-04-0121;2025-12-02;74.60;2025-12-04;020_2025_12_04_0377_00007460;74.60
Bahnhoefli;011_2025_02_19_0136_00007460;2025-02-19;74.60;2025-03-11;020_2025_03_11_0136_00007460;74.60
BARacca;011_2020_05_15_0224_00008510;2020-05-15;85.10;;kein betragsgleicher Treffer;188.10
BARacca;011_2024_04_23_0224_00009405;2024-04-23;94.05;2026-01-05;020_2026_01_05_0224_00009405;188.10
BarBar;011_2023_05_23_0030_00007430;2023-05-23;74.30;;kein betragsgleicher Treffer;188.10
BarBar;011_2024_06_03_0030_00009405;2024-06-03;94.05;2024-08-22;020_2024_08_22_0030_00009405;188.10
Blockhuus;011_2022_12_08_0080_00006785;2022-12-08;67.85;2023-04-21;020_2023_04_21_0080_00006785;188.10
Blockhuus;011_2025_11_17_0080_00007460;2025-11-17;74.60;;siehe Hinweis Kuerzel XXX;188.10
Braema;2026-04-0211;2026-01-10;118.90;2026-02-16;020_2026_02_16_0532_00011890;141.50
Cafe Bar;2026-04-0179;2025-12-19;74.60;2025-12-22;020_2025_12_22_0250_00007460;149.20
Cafe Bar;2026-04-0266;2026-01-19;74.60;2026-01-19;020_2026_01_19_0250_00007460;149.20
Casa Giovanoli;2026-04-0248;2026-01-14;74.60;2026-01-15;020_2026_01_15_0700_00007460;74.60
Central;011_2025_07_04_0751_00009405;2025-07-04;94.05;2025-09-02;020_2025_09_02_0751_00009405;94.05
Chalet Gueggel;2026-04-0249;2026-01-13;171.90;2026-02-25;020_2026_02_25_0094_00017190;341.60
Chesa;011_2024_01_23_0362_00012430;2024-01-23;124.30;2024-04-10;020_2024_04_10_0362_00012430;305.81
Chesa;2026-04-0241;2026-01-14;143.75;2026-02-19;020_2026_02_19_0362_00014375;305.81
Chleina Pub;2026-04-0278;2026-01-21;74.60;2026-02-25;020_2026_02_25_0196_00007460;149.20
Chleina Pub;2026-04-0383;2026-02-26;74.60;2026-03-11;020_2026_03_11_0196_00007460;149.20
Clubhaus FC Landquart;011_2023_03_28_0492_00006785;2023-03-28;67.85;;kein betragsgleicher Treffer;74.60
Concordia;011_2025_03_07_0077_00007460;2025-03-07;74.60;2025-06-11;020_2025_06_11_0077_00007460;74.60
Conditorei Fischer;2026-04-0293;2026-01-23;74.60;2026-02-20;020_2026_02_20_0716_00007460;74.60
Confetti;011_2019_05_15_0027_00010770;2019-05-15;107.70;2019-12-20;020_2019_12_20_0027_00010770;237.80
Confetti;011_2019_06_17_0027_00010770;2019-06-17;107.70;2019-12-20;020_2019_12_20_0027_00010770;237.80
Dancing Zur Zinne;2026-04-0232;2026-01-06;94.05;2026-01-12;020_2026_01_12_0495_00009405;94.05
Dischma;011_2025_02_04_0708_00007460;2025-02-04;74.60;2025-06-11;020_2025_06_11_0708_00007460;74.60
Edelweiss;011_2019_10_30_0222_00006785;2019-10-30;67.85;2020-10-25;019_2020_10_25_0222_00006785;135.70
Edelweiss;011_2022_01_28_0222_00006785;2022-01-28;67.85;2022-07-19;020_2022_07_19_0222_00006785;135.70
Espresso Bar;011_2023_05_03_0486_00007430;2023-05-03;74.30;2023-09-15;020_2023_09_15_0486_00007430;148.90
Espresso Bar;011_2023_06_05_0486_00007430;2023-06-05;74.30;2023-09-15;020_2023_09_15_0486_00007430;148.90
Fondue Beizli (Bierkoenig);011_2020_03_30_0039_00006785;2020-03-30;67.85;2020-04-01;020_2020_04_01_0039_00006785;94.05
Franziskaner;011_2019_05_06_0032_00006785;2019-05-06;67.85;2019-07-02;020_2019_07_02_0032_00006785;74.65
Fravi;2026-04-0191;2025-12-23;74.60;2026-01-14;020_2026_01_14_0002_00007460;149.20
Fravi;2026-04-0295;2026-01-26;74.60;2026-02-09;020_2026_02_09_0002_00007460;149.20
Frosch Sportclub Davos;011_2021_10_18_0146_00006785;2021-10-18;67.85;2022-07-26;020_2022_07_26_0146_00006785;74.60
Furt;2026-04-0148;2025-12-06;74.60;2025-12-23;020_2025_12_23_0270_00007460;149.20
Furt;2026-04-0344;2026-02-14;74.60;2026-03-06;020_2026_03_06_0270_00007460;149.20
Garden Lounge & Bar;2026-04-0390;2026-02-27;113.50;2026-03-02;020_2026_03_02_0770_00011350;113.50
Gasthaus am Brunnen;2026-04-0282;2026-01-21;74.60;2026-01-28;020_2026_01_28_0220_00007460;74.60
